scorer,,,Aaron,Aaron,Aaron,Aaron,Aaron,Aaron,Aaron,Aaron
bodyparts,,,top,top,bottom,bottom,left,left,right,right
coords,,,x,y,x,y,x,y,x,y
labeled-data,Mouse3,img0060.png,370.31990303413096,226.7807744170878,368.5559998528645,280.16824403675156,342.09745213386816,254.297664044844,389.4876509372261,252.53376086357758
labeled-data,Mouse3,img0178.png,278.5969376082769,253.9448834085907,277.18581506326376,313.7999980262313,246.61149325464575,285.10717294429753,306.9369820539574,285.10717294429753
labeled-data,Mouse3,img0364.png,324.5760138666217,240.30403214013035,322.92970423077304,296.5137468498204,296.35356296635894,269.46723140373524,347.5489490934086,267.03552752377874
labeled-data,Mouse3,img0456.png,319.04558598050096,250.01681112559535,318.57521179882997,290.93936493097635,297.17318653279733,271.889210573299,337.7429597019251,271.889210573299
labeled-data,Mouse3,img0743.png,323.63173425179366,255.42611421481237,323.39654716095816,278.12166848044035,310.93163134667543,268.5965913016017,334.0975597939745,268.00862357451285
labeled-data,Mouse3,img0839.png,322.45579879761607,257.07242385066104,322.57339234303385,278.00407493502263,310.93163134667543,269.0669654832727,332.2160630672903,268.5965913016017
labeled-data,Mouse3,img0846.png,321.86783107052725,256.13167548731894,322.57339234303385,279.4151974800358,309.5205088016623,269.0669654832727,332.2160630672903,268.94937193785495
labeled-data,Mouse3,img1038.png,316.9289021629813,244.84269512721383,316.9289021629813,294.11439065725597,291.29350926190926,269.65493321036155,341.97632733696446,270.1253073920326
labeled-data,Mouse3,img1199.png,321.515050434274,244.0195403092895,319.3983666167543,296.34866802019343,293.2925995340112,270.47808802828587,346.20969497200394,270.47808802828587
labeled-data,Mouse3,img1284.png,333.50959206688566,242.49082421885862,333.62718561230344,294.2319842026737,303.28805089452095,267.4206558474241,353.3829012424874,269.3021525741083
labeled-data,Mouse3,img1433.png,323.0437665247049,253.1918368518749,323.63173425179366,281.4142877521377,308.4621668929024,269.0669654832727,335.8614629752409,268.71418484701945
labeled-data,Mouse3,img1561.png,322.45579879761607,256.60204966899,322.2206117067806,278.4744491166937,310.1084765287511,268.3614042107662,332.80403079437906,268.3614042107662
labeled-data,Mouse3,img1790.png,317.28168279923455,249.89921758017758,316.2233408904747,293.64401647558486,293.2925995340112,271.77161702788123,340.21242415569805,272.71236539122333
labeled-data,Mouse3,img2349.png,310.3436636195866,256.3668625781545,310.6964442558399,286.11802956884816,294.4685349881888,271.65402348246346,325.27804388764235,272.2419912095523
labeled-data,Mouse3,img2455.png,305.6399218028762,258.60113994109196,305.99270243912946,284.706907023835,292.46944471608685,272.2419912095523,318.92799243508324,272.8299589366411
labeled-data,Mouse3,img2480.png,307.2862314387248,256.71964321440777,306.93345080247155,285.88284247801266,293.6453801702645,271.77161702788123,321.86783107052725,271.53642993704574
labeled-data,Mouse3,img2526.png,308.81494752915575,256.3668625781545,308.4621668929024,285.0596876600883,293.6453801702645,271.1836493007924,322.9261729792871,271.0660557553747
labeled-data,Mouse3,img2554.png,320.3391149800964,251.4279336706085,319.6335537075898,288.1171198409501,299.289870350317,269.5373396649438,336.0966500660764,269.77252675577927
labeled-data,Mouse3,img3034.png,313.51868934586616,243.784353218454,313.40109580044845,293.64401647558486,288.5888577173007,269.89012030119704,338.80130161068496,269.419746119526
labeled-data,Mouse3,img3361.png,315.8705602542214,242.49082421885862,314.45943770920826,295.8782938385224,287.7657028993764,268.71418484701945,341.6235467007112,269.77252675577927
