scorer,,,Aaron,Aaron,Aaron,Aaron,Aaron,Aaron,Aaron,Aaron
bodyparts,,,top,top,bottom,bottom,left,left,right,right
coords,,,x,y,x,y,x,y,x,y
labeled-data,Mouse1,img0014.png,352.1632701398415,250.97245964764642,351.2225217764994,307.29976790275424,323.9408192395787,279.90047182041576,376.03475985964707,279.4300976387447
labeled-data,Mouse1,img0201.png,348.63546377730864,255.32342082810362,348.63546377730864,301.89046481353716,326.2926901479339,279.1949105479092,370.155082588759,279.66528472958026
labeled-data,Mouse1,img0295.png,350.0465863223218,262.8494077348404,350.39936695857506,294.12929081596496,335.5825802359371,278.95972345707366,364.0402182270354,278.95972345707366
labeled-data,Mouse1,img0339.png,349.22343150439747,263.9077496436002,350.0465863223218,291.5422328167742,335.94193282630306,278.86433422991695,361.21797313700915,278.95972345707366
labeled-data,Mouse1,img0577.png,342.6381929610028,257.08732400937004,342.7557865064206,301.65527772270167,320.41301287704584,280.2532524566691,364.0402182270354,280.01806536583354
labeled-data,Mouse1,img0745.png,343.4613477789271,253.91229828309048,344.4020961422692,305.65345826690555,317.9435484232729,280.1356589112513,368.97914713458135,279.78287827499804
labeled-data,Mouse1,img1174.png,344.87247032394026,250.73727255681092,344.04931550601594,307.7701420844253,315.1213033332466,279.4300976387447,372.50695349711424,279.66528472958026
labeled-data,Mouse1,img1203.png,344.519689687687,251.20764673848197,344.4020961422692,307.53495499358974,315.4740839694999,278.95972345707366,372.9773276787853,279.1949105479092
labeled-data,Mouse1,img1227.png,344.43775316946864,251.13664848706148,343.9673789877976,307.81673737842254,315.3921474512815,279.8294735689953,372.54261052431366,280.4174412960841
labeled-data,Mouse1,img1447.png,353.25726907580076,261.6024740292423,353.72764325747175,293.82310547370895,338.08770171690946,279.35909938732425,367.25090098051436,278.3007574785644
labeled-data,Mouse1,img1571.png,346.7896240778239,270.3043963901566,347.14240471407714,291.11845392910044,336.6765791718964,281.12300256859066,355.9619206204093,281.24059611400844
labeled-data,Mouse1,img1632.png,348.5535272590903,271.3627382989165,348.5535272590903,290.5304862020116,338.20529526232724,280.88781547775517,355.9619206204093,281.24059611400844
labeled-data,Mouse1,img1726.png,351.61095943995207,272.06829957142304,351.96374007620534,291.00086038368266,341.9682887156956,281.475783204844,359.4897269829421,282.2989380227683
labeled-data,Mouse1,img1796.png,350.0871423536816,272.97987887880004,350.54537869142064,289.0690658483024,342.29712461211875,281.43179355265255,356.2987904874768,281.4827087012902
labeled-data,Mouse1,img1852.png,349.6289060159426,274.1000121488287,350.4944635427829,288.1525931728244,342.5517003553071,281.3299632553772,356.09512989292614,281.43179355265255
labeled-data,Mouse1,img2020.png,349.883481759131,271.4015092710324,350.03622720504393,291.97122932064934,339.49679143704714,281.7372844444785,358.33539643298343,281.9918601876669
labeled-data,Mouse1,img2274.png,346.370336503132,261.8803764757889,347.32419288459766,300.65729575994914,326.43395213727337,281.00711496566237,364.78042145427963,281.7702287829162
labeled-data,Mouse1,img2477.png,346.65646829450054,256.4920835863823,348.37347438332176,303.4235833474944,322.71377227816083,280.3393903755653,369.645272039273,280.434779602722
labeled-data,Mouse1,img2772.png,345.6071867957765,254.29813136177745,345.9887437044034,305.5221463449425,319.9474846906156,281.38867187428934,371.07611044662394,281.48406110144606
labeled-data,Mouse1,img2826.png,344.7486837513659,254.48890981609094,345.8933544772467,305.90370325356946,318.9935924190483,279.7670550126249,370.9807212194672,279.9578334669384
labeled-data,Mouse2,img0018.png,334.4450170314513,246.86715686292342,334.6357954857648,303.5283577940222,304.11124279561056,277.39170955307765,358.2923238206343,275.7700926914132
labeled-data,Mouse2,img0093.png,334.540406258608,245.72248613704267,335.20813084870514,303.4329685668655,304.4927997042375,276.914763417294,358.6738807292612,275.1023681013161
labeled-data,Mouse2,img0165.png,335.1127416215484,246.58098918145325,335.0173523943917,302.9560224310818,303.82507511414036,277.48709878023436,358.1969345934775,274.53003273837567
labeled-data,Mouse2,img0228.png,340.8360952509523,251.2550613121331,339.9775922065418,296.3741657572673,319.6596868221578,274.81620041984587,357.8153776848506,273.4807512396516
labeled-data,Mouse2,img0251.png,336.5435800288994,254.59368426261872,336.16202312027247,294.8479381227596,317.27495614323954,274.05308660259203,352.6643594183871,274.62542196553244
labeled-data,Mouse2,img0356.png,336.8297477103696,260.41242711917937,337.1159153918398,285.5951830885566,324.04759127136754,273.5761404668084,347.70411960623704,273.7669189211218
labeled-data,Mouse2,img0373.png,335.97124466595903,261.6524870722169,335.97124466595903,285.97673999718353,324.5245374071512,273.4807512396516,347.13178424329664,274.14847582974875
labeled-data,Mouse2,img0616.png,336.5435800288994,266.32655920289676,336.35280157458595,283.11506318248155,328.2447172662637,275.7700926914132,343.5069936113408,275.8654819185699
labeled-data,Mouse2,img0643.png,337.1159153918398,265.65883461279964,337.6882507547802,283.7827877725787,329.77094490077144,275.57931423709977,345.03322124584855,275.57931423709977
labeled-data,Mouse2,img0658.png,336.8297477103696,265.5634453856429,337.1159153918398,285.1182369527729,329.0078310835176,276.2470388271969,345.03322124584855,276.2470388271969
labeled-data,Mouse2,img0780.png,335.58968775733206,263.4648823881948,336.2574123474292,286.64446458728065,324.9060943157781,275.6747034642565,345.5101673816322,275.29314655562956
labeled-data,Mouse2,img0816.png,335.49429853017534,260.7939840278063,334.92196316723494,289.88769831060955,321.37669291097905,275.57931423709977,347.6087303790803,276.0562603728834
labeled-data,Mouse2,img0889.png,335.1127416215484,259.74470252908225,335.97124466595903,290.7462013550201,320.89974677519535,275.57931423709977,348.8487903321178,275.6747034642565
labeled-data,Mouse2,img1023.png,335.68507698448883,252.01817512938695,331.6085149615142,300.33076930634456,310.62288498703316,276.8650194257885,354.88348638775676,277.2465763344154
labeled-data,Mouse2,img1097.png,339.144263906896,249.67908968611988,336.85492245513444,299.09070935330703,316.25084938928035,274.5756779740269,356.7912709308914,275.33879179128076
labeled-data,Mouse2,img1123.png,331.4177365072007,251.20531732062759,329.79611964553624,299.09070935330703,307.5704297180177,276.1019056085346,351.92642034589807,276.19729483569137
labeled-data,Mouse2,img1338.png,330.46384423563336,259.8857369918902,329.9868980998497,291.07801427214156,315.20156789055625,275.33879179128076,345.05839599061335,275.62495947275096
labeled-data,Mouse2,img1416.png,331.7039041886709,257.78717399444207,331.03617959857377,293.0811880424329,312.72144798448124,276.2926840628481,347.6339051238451,276.0065163813779
labeled-data,Mouse2,img1594.png,334.27941332190267,249.86986814043334,332.371628778768,300.1399908520311,307.95198662664467,277.0557978801019,355.9327678864808,276.7696301986318
labeled-data,Mouse2,img1752.png,334.18402409474595,249.86986814043334,330.1776765541632,302.71549998526285,306.42575899213693,278.00969015166925,355.36043252354045,276.19729483569137
labeled-data,Mouse3,img0060.png,370.31990303413096,226.7807744170878,368.5559998528645,280.16824403675156,342.09745213386816,254.297664044844,389.4876509372261,252.53376086357758
labeled-data,Mouse3,img0167.png,275.732888955574,252.9770599557109,273.28104826072695,312.7662324998083,243.23138427734375,281.37567138671875,305.4789544699851,282.18539495281163
labeled-data,Mouse3,img0178.png,278.5969376082769,253.9448834085907,277.18581506326376,313.7999980262313,246.61149325464575,285.10717294429753,306.9369820539574,285.10717294429753
labeled-data,Mouse3,img0364.png,324.5760138666217,240.30403214013035,322.92970423077304,296.5137468498204,296.35356296635894,269.46723140373524,347.5489490934086,267.03552752377874
labeled-data,Mouse3,img0456.png,319.04558598050096,250.01681112559535,318.57521179882997,290.93936493097635,297.17318653279733,271.889210573299,337.7429597019251,271.889210573299
labeled-data,Mouse3,img0743.png,323.63173425179366,255.42611421481237,323.39654716095816,278.12166848044035,310.93163134667543,268.5965913016017,334.0975597939745,268.00862357451285
labeled-data,Mouse3,img0839.png,322.45579879761607,257.07242385066104,322.57339234303385,278.00407493502263,310.93163134667543,269.0669654832727,332.2160630672903,268.5965913016017
labeled-data,Mouse3,img0846.png,321.86783107052725,256.13167548731894,322.57339234303385,279.4151974800358,309.5205088016623,269.0669654832727,332.2160630672903,268.94937193785495
labeled-data,Mouse3,img1038.png,316.9289021629813,244.84269512721383,316.9289021629813,294.11439065725597,291.29350926190926,269.65493321036155,341.97632733696446,270.1253073920326
labeled-data,Mouse3,img1199.png,321.515050434274,244.0195403092895,319.3983666167543,296.34866802019343,293.2925995340112,270.47808802828587,346.20969497200394,270.47808802828587
labeled-data,Mouse3,img1284.png,333.50959206688566,242.49082421885862,333.62718561230344,294.2319842026737,303.28805089452095,267.4206558474241,353.3829012424874,269.3021525741083
labeled-data,Mouse3,img1433.png,323.0437665247049,253.1918368518749,323.63173425179366,281.4142877521377,308.4621668929024,269.0669654832727,335.8614629752409,268.71418484701945
labeled-data,Mouse3,img1561.png,322.45579879761607,256.60204966899,322.2206117067806,278.4744491166937,310.1084765287511,268.3614042107662,332.80403079437906,268.3614042107662
labeled-data,Mouse3,img1790.png,317.28168279923455,249.89921758017758,316.2233408904747,293.64401647558486,293.2925995340112,271.77161702788123,340.21242415569805,272.71236539122333
labeled-data,Mouse3,img2349.png,310.3436636195866,256.3668625781545,310.6964442558399,286.11802956884816,294.4685349881888,271.65402348246346,325.27804388764235,272.2419912095523
labeled-data,Mouse3,img2455.png,305.6399218028762,258.60113994109196,305.99270243912946,284.706907023835,292.46944471608685,272.2419912095523,318.92799243508324,272.8299589366411
